2024-02-10|09:45:33|ergonomic keyboard|Amazon|-89.50
2024-02-10|11:15:00|Invoice 2101 paid|Joe|1500.00
2024-02-11|08:55:12|office chair|IKEA|-140.25
2024-02-11|13:30:45|Lunch meeting|Chipotle|-18.40
2024-02-12|09:10:00|monthly subscription|Adobe|-29.99
2024-02-12|15:45:22|Invoice 2102 paid|Sarah|890.00
2024-02-13|10:22:11|laptop stand|Best Buy|-65.40
2024-02-13|16:25:47|coffee supplies|Starbucks|-23.60
2024-02-14|14:00:00|Invoice 2103 paid|Tech Solutions|1300.00
2024-02-14|18:40:29|team dinner|Olive Garden|-96.70
2024-03-01|09:05:09|printer paper|Office Depot|-15.99
2024-03-01|13:40:12|Invoice 2104 paid|Anna|710.00
2024-03-02|07:55:33|software license renewal|Microsoft|-199.99
2024-03-02|17:30:00|client payment|MegaCorp|2550.00
2024-03-03|10:22:45|domain renewal|GoDaddy|-20.00
2024-03-03|11:59:59|business lunch|Panera Bread|-27.15
2024-03-04|09:10:30|Invoice 2105 paid|Liam|960.00
2024-03-04|19:50:12|ride to office|Uber|-14.25
2024-03-05|08:05:05|office snacks|Costco|-49.60
2024-03-05|14:25:40|Invoice 2106 paid|Sophia|1550.00
2024-03-06|12:45:55|web hosting|Bluehost|-84.00
2024-03-06|16:05:20|consulting income|ACME Inc|2200.00
2024-04-10|08:30:15|breakfast meeting|Dunkin|-10.25
2024-04-10|15:10:45|printer ink|Office Depot|-52.90
2024-04-11|11:45:33|Invoice 2107 paid|Noah|740.00
2024-04-11|18:20:00|tax payment|IRS|-420.00
2024-04-12|10:05:00|client deposit|BrightTech|3120.00
2024-04-12|14:40:55|team coffee|Starbucks|-18.95
2024-05-01|09:25:11|website update|Freelancer|-275.00
2024-05-01|17:33:29|Invoice 2108 paid|Mia|1250.00
2024-05-02|08:40:22|office cleaning|CleanCo|-95.00
2024-05-02|13:15:15|new phone|Apple|-999.00
2024-05-03|10:10:10|Invoice 2109 paid|Lucas|1480.00
2024-05-03|18:30:45|parking fee|Downtown Garage|-12.00
2024-06-15|09:05:33|business cards|Vistaprint|-42.50
2024-06-15|14:25:50|Invoice 2110 paid|Ethan|780.00
2024-06-16|11:15:12|video ad campaign|YouTube|-160.00
2024-06-16|15:55:44|cloud storage|Google|-25.00
2024-07-04|09:40:09|Invoice 2111 paid|Emma|990.00
2024-07-04|12:35:20|office plants|Home Depot|-64.75
2024-07-05|08:15:00|client payment|NextGen Corp|2750.00
2024-07-05|17:10:45|dinner with client|Cheesecake Factory|-114.60
2024-08-10|10:25:30|network router|Newegg|-139.90
2024-08-10|16:45:15|Invoice 2112 paid|Olivia|830.00
2024-09-01|09:55:10|conference ticket|TechWorld|-350.00
2024-09-01|18:05:33|tax refund|IRS|650.00
2024-09-02|08:25:22|coffee maker|Target|-52.99
2024-09-02|14:55:41|Invoice 2113 paid|Ava|1000.00
2025-01-12|11:05:19|printer maintenance|TechFix|-75.00
2025-01-12|16:30:30|client payment|Skyline Inc|1850.00

